seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
2,1986,3655,1,0,bedroom,2,5.10,0.9,7
2,1987,2720,1,0,bedroom,5,5.24,0.8,43
2,1988,1290157,12,49525,large_studio_floor,12,6.65,22.0,23980
2,1989,7148684,12,53175,large_studio_floor,18,7.18,44.9,125200
2,1990,21604594,12,74950,large_studio_floor,24,7.46,68.4,344950
2,1991,35733358,12,87550,large_studio_floor,29,7.71,92.4,599510
2,1992,42899834,12,107950,large_studio_floor,35,7.86,100.0,734582
2,1993,52842418,12,118275,large_studio_floor,41,8.05,100.0,901421
2,1994,57506023,12,147400,large_studio_floor,42,8.09,100.0,997143
2,1995,58518102,12,147400,large_studio_floor,43,8.13,100.0,1041848
2,1996,59471195,12,171850,large_studio_floor,44,8.13,100.0,1072183
2,1996,59471195,12,171850,large_studio_floor,44,8.13,100.0,1072183
